market_id,selection,odds,provider,last_update
real_0,home,8.0,B365,2023-08-11
real_0,draw,5.5,B365,2023-08-11
real_0,away,1.33,B365,2023-08-11
real_1,home,1.18,B365,2023-08-12
real_1,draw,7.0,B365,2023-08-12
real_1,away,15.0,B365,2023-08-12
real_2,home,2.7,B365,2023-08-12
real_2,draw,3.4,B365,2023-08-12
real_2,away,2.55,B365,2023-08-12
real_3,home,1.33,B365,2023-08-12
real_3,draw,5.5,B365,2023-08-12
real_3,away,9.0,B365,2023-08-12
real_4,home,2.2,B365,2023-08-12
real_4,draw,3.4,B365,2023-08-12
real_4,away,3.3,B365,2023-08-12
real_5,home,3.0,B365,2023-08-12
real_5,draw,3.3,B365,2023-08-12
real_5,away,2.38,B365,2023-08-12
real_6,home,1.75,B365,2023-08-12
real_6,draw,3.75,B365,2023-08-12
real_6,away,4.6,B365,2023-08-12
real_7,home,2.75,B365,2023-08-13
real_7,draw,3.4,B365,2023-08-13
real_7,away,2.45,B365,2023-08-13
real_8,home,2.9,B365,2023-08-13
real_8,draw,3.4,B365,2023-08-13
real_8,away,2.38,B365,2023-08-13
real_9,home,1.33,B365,2023-08-14
real_9,draw,5.5,B365,2023-08-14
real_9,away,9.0,B365,2023-08-14
real_10,home,1.95,B365,2023-08-18
real_10,draw,3.4,B365,2023-08-18
real_10,away,4.0,B365,2023-08-18
real_11,home,2.7,B365,2023-08-19
real_11,draw,3.3,B365,2023-08-19
real_11,away,2.63,B365,2023-08-19
real_12,home,1.2,B365,2023-08-19
real_12,draw,7.0,B365,2023-08-19
real_12,away,13.0,B365,2023-08-19
real_13,home,4.0,B365,2023-08-19
real_13,draw,3.8,B365,2023-08-19
real_13,away,1.85,B365,2023-08-19
real_14,home,2.8,B365,2023-08-19
real_14,draw,3.6,B365,2023-08-19
real_14,away,2.38,B365,2023-08-19
real_15,home,1.67,B365,2023-08-19
real_15,draw,4.0,B365,2023-08-19
real_15,away,5.0,B365,2023-08-19
real_16,home,1.7,B365,2023-08-20
real_16,draw,4.0,B365,2023-08-20
real_16,away,4.5,B365,2023-08-20
real_17,home,3.75,B365,2023-08-20
real_17,draw,3.5,B365,2023-08-20
real_17,away,2.0,B365,2023-08-20
real_18,home,5.5,B365,2023-08-21
real_18,draw,4.0,B365,2023-08-21
real_18,away,1.6,B365,2023-08-21
real_19,home,1.29,B365,2023-08-25
real_19,draw,5.5,B365,2023-08-25
real_19,away,11.0,B365,2023-08-25
real_20,home,3.8,B365,2023-08-26
real_20,draw,3.75,B365,2023-08-26
real_20,away,1.91,B365,2023-08-26
real_21,home,1.2,B365,2023-08-26
real_21,draw,7.0,B365,2023-08-26
real_21,away,13.0,B365,2023-08-26
real_22,home,2.15,B365,2023-08-26
real_22,draw,3.4,B365,2023-08-26
real_22,away,3.5,B365,2023-08-26
real_23,home,2.3,B365,2023-08-26
real_23,draw,3.3,B365,2023-08-26
real_23,away,3.2,B365,2023-08-26
real_24,home,1.3,B365,2023-08-26
real_24,draw,6.0,B365,2023-08-26
real_24,away,8.0,B365,2023-08-26
real_25,home,1.53,B365,2023-08-26
real_25,draw,4.75,B365,2023-08-26
real_25,away,5.25,B365,2023-08-26
real_26,home,3.4,B365,2023-08-27
real_26,draw,3.4,B365,2023-08-27
