market_id,result,home_score,away_score
real_0,away,0,3
real_1,home,2,1
real_2,draw,1,1
real_3,home,4,1
real_4,away,0,1
real_5,away,0,1
real_6,home,5,1
real_7,draw,2,2
real_8,draw,1,1
real_9,home,1,0
real_10,home,2,1
real_11,away,0,3
real_12,home,3,1
real_13,away,1,4
real_14,home,2,0
real_15,home,1,0
real_16,home,4,0
real_17,home,3,1
real_18,away,0,1
real_19,home,3,0
real_20,away,0,2
real_21,draw,2,2
real_22,draw,1,1
real_23,away,0,1
real_24,home,3,2
real_25,away,1,3
real_26,away,1,3
real_27,away,1,2
real_28,away,1,2
real_29,away,1,2
real_30,draw,2,2
real_31,draw,2,2
real_32,away,2,5
real_33,away,0,1
real_34,home,5,1
real_35,home,3,1
real_36,home,3,2
real_37,home,3,0
real_38,home,3,1
real_39,away,1,3
real_40,home,3,1
real_41,home,1,0
real_42,away,1,3
real_43,home,2,1
real_44,away,1,3
real_45,home,1,0
real_46,draw,0,0
real_47,away,0,1
real_48,draw,1,1
real_49,draw,0,0
real_50,draw,1,1
real_51,home,2,0
real_52,away,1,3
real_53,away,0,1
real_54,draw,2,2
real_55,home,3,1
real_56,away,0,1
real_57,home,3,1
real_58,away,0,8
real_59,home,6,1
real_60,away,0,4
real_61,away,1,2
real_62,away,0,1
real_63,home,2,0
real_64,home,2,0
real_65,home,2,1
real_66,home,2,1
real_67,draw,1,1
real_68,away,0,2
real_69,away,1,2
real_70,away,0,1
real_71,away,1,4
real_72,home,3,0
real_73,home,3,1
real_74,home,2,1
real_75,draw,0,0
real_76,draw,2,2
real_77,draw,2,2
real_78,draw,1,1
real_79,home,1,0
real_80,home,2,0
real_81,away,1,2
real_82,home,3,0
real_83,home,2,1
real_84,home,4,0
real_85,draw,2,2
real_86,draw,2,2
real_87,away,1,2
real_88,home,4,1
real_89,home,2,0
real_90,away,1,2
real_91,away,0,2
real_92,home,5,0
real_93,home,2,1
real_94,draw,2,2
real_95,away,0,1
real_96,home,3,1
real_97,draw,1,1
real_98,home,3,0
real_99,away,0,3
real_100,away,0,1
real_101,home,3,2
real_102,away,0,2
real_103,draw,1,1
real_104,home,6,1
real_105,home,2,1
real_106,home,1,0
real_107,home,2,0
real_108,draw,1,1
real_109,away,1,4
real_110,home,2,1
real_111,home,3,1
real_112,away,2,3
real_113,home,1,0
real_114,home,2,0
real_115,home,3,1
real_116,draw,1,1
real_117,home,3,0
real_118,home,3,2
real_119,draw,4,4
real_120,draw,1,1
real_121,away,1,2
real_122,home,2,1
real_123,home,4,1
real_124,away,2,3
real_125,away,1,3
real_126,away,0,1
real_127,away,1,2
real_128,away,0,3
real_129,home,3,2
real_130,home,2,1
real_131,home,3,1
real_132,home,5,0
real_133,away,0,1
real_134,home,1,0
real_135,draw,2,2
real_136,home,3,2
real_137,home,4,3
real_138,draw,1,1
real_139,draw,3,3
real_140,home,1,0
real_141,away,3,4
real_142,home,2,1
real_143,away,0,2
real_144,home,5,0
real_145,away,0,2
real_146,home,1,0
real_147,home,2,1
real_148,home,3,0
real_149,away,1,2
real_150,away,1,2
real_151,draw,1,1
real_152,away,0,3
real_153,home,1,0
real_154,draw,1,1
real_155,home,1,0
real_156,home,2,0
real_157,home,5,0
real_158,away,1,2
real_159,home,4,1
real_160,away,0,2
real_161,home,2,0
real_162,draw,2,2
real_163,home,3,0
real_164,away,0,2
real_165,home,2,0
real_166,away,1,2
real_167,home,3,0
real_168,draw,0,0
real_169,draw,1,1
real_170,draw,1,1
real_171,home,2,0
real_172,away,0,2
real_173,home,1,0
real_174,away,2,3
real_175,home,2,1
real_176,draw,1,1
real_177,home,2,1
real_178,away,1,3
real_179,home,3,0
real_180,away,2,3
real_181,away,0,2
real_182,home,3,2
real_183,away,1,4
real_184,home,2,1
real_185,away,1,3
real_186,home,4,2
real_187,away,0,2
real_188,away,2,3
real_189,home,3,2
real_190,home,3,1
real_191,home,2,0
real_192,home,3,0
real_193,home,2,1
real_194,home,2,1
real_195,home,3,1
real_196,home,4,2
real_197,draw,0,0
real_198,draw,1,1
real_199,home,1,0
real_200,away,2,3
real_201,draw,0,0
real_202,draw,2,2
real_203,home,5,0
real_204,home,3,2
real_205,draw,2,2
real_206,away,0,4
real_207,draw,0,0
real_208,away,1,2
real_209,draw,0,0
real_210,home,4,0
real_211,home,3,2
real_212,away,1,3
real_213,home,3,1
real_214,home,3,2
real_215,home,4,1
real_216,draw,1,1
real_217,away,3,4
real_218,draw,2,2
real_219,home,4,1
real_220,draw,2,2
real_221,draw,4,4
real_222,away,0,5
real_223,draw,1,1
real_224,away,2,4
real_225,home,3,0
real_226,home,3,1
real_227,away,1,3
real_228,home,2,0
real_229,home,3,1
real_230,home,3,1
real_231,away,1,3
real_232,home,2,1
real_233,away,0,2
real_234,away,2,3
real_235,away,0,6
real_236,away,1,2
real_237,away,1,3
real_238,away,1,4
real_239,away,0,5
real_240,away,1,2
real_241,draw,2,2
real_242,home,2,0
real_243,away,1,2
real_244,draw,1,1
real_245,away,0,5
real_246,away,1,2
real_247,draw,1,1
real_248,home,1,0
real_249,home,4,1
real_250,home,4,2
real_251,draw,1,1
real_252,home,3,0
real_253,away,1,2
real_254,away,0,1
real_255,home,4,1
real_256,home,1,0
real_257,home,4,2
real_258,draw,2,2
real_259,away,1,3
real_260,home,3,0
real_261,home,3,0
real_262,away,0,1
real_263,home,3,1
real_264,away,2,3
real_265,away,0,2
real_266,home,3,1
real_267,away,0,6
real_268,home,2,0
real_269,draw,2,2
real_270,draw,1,1
real_271,home,2,1
real_272,home,2,1
real_273,away,0,4
real_274,home,1,0
real_275,draw,2,2
real_276,draw,1,1
real_277,home,3,2
real_278,home,4,3
real_279,home,2,1
real_280,draw,1,1
real_281,home,3,0
real_282,draw,1,1
real_283,home,4,3
real_284,home,2,1
real_285,draw,2,2
real_286,draw,1,1
real_287,draw,3,3
real_288,home,2,1
real_289,home,2,0
real_290,draw,1,1
real_291,home,2,1
real_292,draw,0,0
real_293,draw,1,1
real_294,home,3,1
real_295,home,1,0
real_296,draw,1,1
real_297,draw,1,1
real_298,home,2,0
real_299,draw,0,0
real_300,home,4,1
real_301,home,3,1
real_302,home,4,3
real_303,away,2,4
real_304,draw,3,3
real_305,home,1,0
real_306,away,0,1
real_307,home,2,1
real_308,away,1,2
real_309,away,0,3
real_310,draw,2,2
real_311,draw,2,2
real_312,home,3,1
real_313,home,4,0
real_314,home,2,0
real_315,draw,1,1
real_316,home,5,1
real_317,draw,2,2
real_318,draw,2,2
real_319,away,0,1
real_320,away,0,2
real_321,away,0,2
real_322,home,6,0
real_323,away,1,5
real_324,away,1,4
real_325,away,0,2
real_326,home,2,0
real_327,home,3,1
real_328,home,5,2
real_329,away,1,3
real_330,home,5,0
real_331,away,0,1
real_332,home,2,0
real_333,home,2,0
real_334,home,4,2
real_335,away,0,4
real_336,draw,2,2
real_337,draw,1,1
real_338,draw,1,1
real_339,home,5,1
real_340,home,2,1
real_341,home,1,0
real_342,draw,2,2
real_343,home,3,0
real_344,away,2,3
real_345,away,0,2
real_346,home,2,0
real_347,draw,1,1
real_348,home,3,0
real_349,draw,0,0
real_350,away,1,4
real_351,away,1,3
real_352,home,5,1
real_353,home,1,0
real_354,home,5,0
real_355,home,4,2
real_356,home,4,0
real_357,away,0,4
real_358,away,1,2
real_359,home,1,0
real_360,draw,1,1
real_361,home,2,1
real_362,home,3,1
real_363,away,1,3
real_364,away,2,3
real_365,away,0,1
real_366,draw,3,3
real_367,away,0,2
real_368,away,1,2
real_369,home,3,2
real_370,home,2,1
real_371,away,2,4
real_372,away,0,2
real_373,away,1,2
real_374,home,2,1
real_375,home,5,0
real_376,home,2,0
real_377,away,2,4
real_378,home,3,1
real_379,away,0,3
real_380,away,0,2
real_381,draw,2,2
real_382,home,2,0
real_383,home,2,1
real_384,home,2,0
real_385,home,4,1
real_386,away,0,1
real_387,draw,2,2
real_388,away,1,2
real_389,away,0,2
real_390,home,2,1
real_391,home,4,2
real_392,draw,0,0
real_393,home,4,0
real_394,draw,2,2
real_395,draw,0,0
